,from,to
0,VSS,VS
1,VS,MDB
2,MDB,ARN
3,ARN,GS
4,GS,BZL
5,BZL,KRG
6,KRG,KBD
7,KBD,RB
8,RB,BGN
9,BGN,RSD
10,RSD,ODB
11,ODB,ZVB
12,ZVB,ZLW
13,RSD,ETN
14,ETN,BD
15,BD,BDPB
16,BDPB,ZLW
17,BD,GZ
18,GZ,TBR
19,TBR,TBU
20,TBU,TB
21,TB,HT
22,TB,OT
23,OT,BTL
24,BTL,BET
25,BET,EHS
26,EHS,EHV
27,BTL,VG
28,VG,HT
29,EHV,GP
30,GP,HZE
31,HZE,MZ
32,MZ,WT
33,WT,RM
34,EHV,HMBV
35,HMBV,HMH
36,HMH,HM
37,HM,HMBH
38,HMBH,DN
39,DN,HRT
40,HRT,BR
41,BR,VL
42,VL,TG
43,TG,RV
44,RV,SM
45,SM,RM
46,RM,EC
47,EC,SRN
48,SRN,STD
49,STD,LUT
50,LUT,BK
51,BK,BDE
52,BDE,MTN
53,MTN,MT
54,MT,MTR
55,MTR,EDN
56,MTN,MES
57,MES,SGL
58,SGL,VK
59,VK,SOG
60,SOG,KMR
61,KMR,VDL
62,VDL,HRLW
63,HRLW,HRL
64,STD,GLN
65,GLN,SBK
66,SBK,SN
67,SN,NH
68,NH,HB
69,HB,HRL
70,HRL,LG
71,LG,EGHM
72,LG,EGH
73,EGH,CVM
74,CVM,KRD
75,BR,VRY
76,VRY,VLB
77,VLB,BMR
78,BMR,CK
79,CK,MMLH
80,MMLH,NMH
81,NMH,NM
82,NM,NMGO
83,NMGO,NMD
84,NMD,WC
85,WC,RVS
86,RVS,O
87,O,OW
88,OW,RS
89,RS,HTO
90,HTO,HT
91,NM,NML
92,NML,EST
93,EST,AHZ
94,AHZ,AH
95,AH,AHP
96,AHP,WTV
97,WTV,DVN
98,DVN,ZV
99,ZV,DID
100,DID,WL
101,WL,DTCH
102,DTCH,DTC
103,DTC,GDR
104,GDR,TBG
105,TBG,VSV
106,VSV,ATN
107,ATN,WW
108,WW,WWW
109,WWW,LTV
110,LTV,RL
111,RL,VD
112,VD,ZP
113,ZP,BMN
114,BMN,DR
115,DR,RH
116,RH,VP
117,VP,AHPR
118,AHPR,AHP
119,ZP,LC
120,LC,GO
121,GO,DDN
122,DDN,HGLG
123,HGLG,HGL
124,HGL,HGLO
125,HGLO,ODZ
126,HGL,ESK
