code,name,lat,lng
HT,'s-Hertogenbosch,51.69048,5.29362
HTO,'s-Hertogenbosch Oost,51.700553894043,5.3183331489563
HDE,'t Harde,52.4091682,5.893611
ATN,Aalten,51.921326524551,6.5786272287369
AC,Abcoude,52.2785,4.977
AKM,Akkrum,53.046390533447,5.843611240387
AMR,Alkmaar,52.63777923584,4.7397222518921
AMRN,Alkmaar Noord,52.643890380859,4.7641668319702
AML,Almelo,52.358055114746,6.6538887023926
AMRI,Almelo de Riet,52.341945648193,6.6666665077209
ALMB,Almere Buiten,52.394165039062,5.2780556678772
ALM,Almere Centrum,52.37503,5.21764
ALMM,Almere Muziekwijk,52.367500305176,5.1902775764465
ALMO,Almere Oostvaarders,52.403331756592,5.3005557060242
ALMP,Almere Parkwijk,52.376667022705,5.244722366333
AMPO,Almere Poort,52.342778,5.151944
APN,Alphen a/d Rijn,52.124443054199,4.6577777862549
AMF,Amersfoort Centraal,52.153888702393,5.3705554008484
AMFS,Amersfoort Schothorst,52.174822137451,5.4038887023926
AVAT,Amersfoort Vathorst,52.192779541016,5.4338889122009
ASA,Amsterdam Amstel,52.346668243408,4.9177780151367
ASB,Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554
ASD,Amsterdam Centraal,52.378887176514,4.9002776145935
ASHD,Amsterdam Holendrecht,52.29844,4.95972
ASDL,Amsterdam Lelylaan,52.357776641846,4.8338890075684
ASDM,Amsterdam Muiderpoort,52.360553741455,4.9311113357544
RAI,Amsterdam RAI,52.337223052979,4.8902778625488
ASSP,Amsterdam Science Park,52.35526,4.94651
ASS,Amsterdam Sloterdijk,52.388889312744,4.8377776145935
ASDZ,Amsterdam Zuid,52.338889,4.872356
ANA,Anna Paulowna,52.867221832275,4.8111109733581
APD,Apeldoorn,52.209167480469,5.9702777862549
APDM,Apeldoorn De Maten,52.205276489258,6.0005555152893
APDO,Apeldoorn Osseveld,52.215278625488,6.0044445991516
APG,Appingedam,53.3258135,6.8619577
AKL,Arkel,51.87194442749,4.9927778244019
ARN,Arnemuiden,51.501667022705,3.6691665649414
AH,Arnhem Centraal,51.985000610352,5.8991665840149
AHPR,Arnhem Presikhaaf,51.988056182861,5.9438886642456
AHP,Arnhem Velperpoort,51.985279083252,5.9194445610046
AHZ,Arnhem Zuid,51.955001831055,5.8519444465637
ASN,Assen,52.991664886475,6.5708332061768
BRN,Baarn,52.208332061768,5.2808332443237
NSCH,Bad Nieuweschans,53.1844,7.19937
BF,Baflo,53.3608969,6.5185581
BRD,Barendrecht,51.854721069336,4.5533332824707
BNC,Barneveld Centrum,52.139999389648,5.590277671814
BNN,Barneveld Noord,52.161388397217,5.5980553627014
BNZ,Barneveld Zuid,52.128853,5.60246
