code,name,lat,lng,neighbours,weather_station
HT,'s-Hertogenbosch,51.69048,5.29362,"['HTO', 'TB', 'VG', 'ZBM']",370
HTO,'s-Hertogenbosch Oost,51.700553894043,5.3183331489563,"['HT', 'RS']",375
HDE,'t Harde,52.4091682,5.893611,"['NS', 'WZ']",275
ATN,Aalten,51.921326524551,6.5786272287369,"['VSV', 'WW']",290
AC,Abcoude,52.2785,4.977,"['ASHD', 'BKL']",240
AKM,Akkrum,53.046390533447,5.843611240387,"['GW', 'HR']",270
AMR,Alkmaar,52.63777923584,4.7397222518921,"['AMRN', 'HLO']",249
AMRN,Alkmaar Noord,52.643890380859,4.7641668319702,"['AMR', 'HWD']",249
AML,Almelo,52.358055114746,6.6538887023926,"['AMRI', 'VZ', 'WDN']",290
AMRI,Almelo de Riet,52.341945648193,6.6666665077209,"['AML', 'BN']",290
ALMB,Almere Buiten,52.394165039062,5.2780556678772,"['ALMO', 'ALMP']",265
ALM,Almere Centrum,52.37503,5.21764,"['ALMM', 'ALMP']",265
ALMM,Almere Muziekwijk,52.367500305176,5.1902775764465,"['ALM', 'AMPO']",265
ALMO,Almere Oostvaarders,52.403331756592,5.3005557060242,"['ALMB', 'LLS']",265
ALMP,Almere Parkwijk,52.376667022705,5.244722366333,"['ALM', 'ALMB']",265
AMPO,Almere Poort,52.342778,5.151944,"['ALMM', 'WP']",240
APN,Alphen a/d Rijn,52.124443054199,4.6577777862549,"['BDG', 'BSK', 'LDL']",215
AMF,Amersfoort Centraal,52.153888702393,5.3705554008484,"['AMFS', 'BRN', 'DLD', 'HVL']",265
AMFS,Amersfoort Schothorst,52.174822137451,5.4038887023926,"['AMF', 'AVAT']",265
AVAT,Amersfoort Vathorst,52.192779541016,5.4338889122009,"['AMFS', 'NKK']",265
ASA,Amsterdam Amstel,52.346668243408,4.9177780151367,"['ASDM', 'DVD']",240
ASB,Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554,"['ASHD', 'DVD']",240
ASD,Amsterdam Centraal,52.378887176514,4.9002776145935,"['ASDM', 'ASS']",240
ASHD,Amsterdam Holendrecht,52.29844,4.95972,"['AC', 'ASB']",240
ASDL,Amsterdam Lelylaan,52.357776641846,4.8338890075684,"['ASS', 'SHL']",240
ASDM,Amsterdam Muiderpoort,52.360553741455,4.9311113357544,"['ASA', 'ASD', 'ASSP']",240
RAI,Amsterdam RAI,52.337223052979,4.8902778625488,"['ASDZ', 'DVD']",240
ASSP,Amsterdam Science Park,52.35526,4.94651,"['ASDM', 'DMN']",240
ASS,Amsterdam Sloterdijk,52.388889312744,4.8377776145935,"['ASD', 'ASDL', 'HWZB', 'ZD']",240
ASDZ,Amsterdam Zuid,52.338889,4.872356,"['RAI', 'SHL']",240
ANA,Anna Paulowna,52.867221832275,4.8111109733581,"['HDRZ', 'SGN']",249
APD,Apeldoorn,52.209167480469,5.9702777862549,"['APDM', 'APDO', 'BNN']",275
APDM,Apeldoorn De Maten,52.205276489258,6.0005555152893,"['APD', 'KBK']",275
APDO,Apeldoorn Osseveld,52.215278625488,6.0044445991516,"['APD', 'TWL']",275
APG,Appingedam,53.3258135,6.8619577,"['DZW', 'LP']",280
AKL,Arkel,51.87194442749,4.9927778244019,"['GR', 'LDM']",348
ARN,Arnemuiden,51.501667022705,3.6691665649414,"['GS', 'MDB']",310
AH,Arnhem Centraal,51.985000610352,5.8991665840149,"['AHP', 'AHZ', 'OTB']",275
AHPR,Arnhem Presikhaaf,51.988056182861,5.9438886642456,"['AHP', 'VP']",275
AHP,Arnhem Velperpoort,51.985279083252,5.9194445610046,"['AH', 'AHPR', 'WTV']",275
AHZ,Arnhem Zuid,51.955001831055,5.8519444465637,"['AH', 'EST']",275
ASN,Assen,52.991664886475,6.5708332061768,"['BL', 'HRN']",280
BRN,Baarn,52.208332061768,5.2808332443237,"['AMF', 'HVS', 'SD']",265
NSCH,Bad Nieuweschans,53.1844,7.19937,['WS'],280
BF,Baflo,53.3608969,6.5185581,"['WFM', 'WSM']",280
BRD,Barendrecht,51.854721069336,4.5533332824707,"['RLB', 'ZLW', 'ZWD']",344
BNC,Barneveld Centrum,52.139999389648,5.590277671814,"['BNN', 'BNZ']",275
BNN,Barneveld Noord,52.161388397217,5.5980553627014,"['APD', 'BNC', 'HVL']",275
BNZ,Barneveld Zuid,52.128853,5.60246,"['BNC', 'LTN']",275
BDM,Bedum,53.3068857,6.593054,"['STM', 'SWD']",280
BK,Beek-Elsloo,50.947498321533,5.7866668701172,"['BDE', 'LUT']",380
BSD,Beesd,51.899444580078,5.1944446563721,"['GDM', 'LDM']",348
BL,Beilen,52.854721069336,6.5211110115051,"['ASN', 'HGV']",280
BGN,Bergen op Zoom,51.49388885498,4.2961111068726,"['RB', 'RSD']",331
BET,Best,51.509998321533,5.3891668319702,"['BTL', 'EHS']",370
BV,Beverwijk,52.478332519531,4.6566667556763,"['DRH', 'HK']",240
BHV,Bilthoven,52.130001068115,5.2038888931274,"['DLD', 'UTO']",260
BR,Blerick,51.372501373291,6.1550002098083,"['HRT', 'VL', 'VRY']",392
BLL,Bloemendaal,52.404167175293,4.6275000572205,"['HLM', 'SPTZ']",240
BDG,Bodegraven,52.081390380859,4.7461109161377,"['APN', 'WD']",348
BN,Borne,52.298889160156,6.7480554580689,"['AMRI', 'HGL']",290
BSK,Boskoop,52.077777862549,4.6469445228577,"['APN', 'BSKS']",215
BSKS,Boskoop Snijdelwijk,52.067658,4.646186,"['BSK', 'WADN']",215
BHDV,Boven-Hardinxveld,51.832222,4.878056,"['GND', 'GR']",348
BKF,Bovenkarspel Flora,52.696109771729,5.2527775764465,"['BKG', 'EKZ']",249
BKG,Bovenkarspel-Grootebroek,52.694999694824,5.2377777099609,"['BKF', 'HKS']",249
BMR,Boxmeer,51.644521767653,5.9390330314636,"['CK', 'VLB']",375
BTL,Boxtel,51.58433,5.31912,"['BET', 'OT', 'VG']",370
BD,Breda,51.595554351807,4.7800002098083,"['BDPB', 'ETN', 'GZ']",350
BDPB,Breda-Prinsenbeek,51.606388092041,4.7208333015442,"['BD', 'ZLW']",350
BKL,Breukelen,52.17149,4.9906,"['AC', 'MAS', 'WD']",260
BMN,Brummen,52.091110229492,6.1469445228577,"['DR', 'ZP']",275
BP,Buitenpost,53.2564547,6.1446496,"['DWE', 'GK']",270
BDE,Bunde,50.896945953369,5.7366666793823,"['BK', 'MTN']",380
BNK,Bunnik,52.063056945801,5.1944446563721,"['DB', 'UTVR']",260
BSMZ,Bussum Zuid,52.26583480835,5.1630554199219,"['HVSM', 'NDB']",265
CPS,Capelle Schollevaar,51.954166412354,4.5841665267944,"['NWK', 'RTA']",344
CAS,Castricum,52.545833587646,4.6586112976074,"['HLO', 'UTG']",249
CVM,Chevremont,50.876110076904,6.0597224235535,"['EGH', 'KRD']",380
CO,Coevorden,52.663612365723,6.7355556488037,"['DLN', 'GBG']",290
CK,Cuijk,51.726682587905,5.8742952346802,"['BMR', 'MMLH']",375
CL,Culemborg,51.946666717529,5.2269444465637,"['GDM', 'HTNC']",260
DA,Daarlerveen,52.4407702,6.5759947,"['VHP', 'VZ']",290
DLN,Dalen,52.69416809082,6.7580556869507,"['CO', 'NA']",290
DL,Dalfsen,52.498332977295,6.25861120224,"['OMN', 'ZL']",290
DVNK,De Vink,52.147220611572,4.4563889503479,"['LEDN', 'VST']",215
DWE,De Westereen,53.24817,6.03463,"['BP', 'FWD']",270
DEI,Deinum,53.1888115,5.7281572,"['DRP', 'LW']",270
DDN,Delden,52.259998321533,6.7161111831665,"['GO', 'HGLG']",290
DT,Delft,52.00666809082,4.3563890457153,"['DTCP', 'RSW']",344
DTCP,Delft Campus,51.990833282471,4.3647222518921,"['DT', 'SDM']",344
DZ,Delfzijl,53.3336625,6.9240797,['DZW'],280
DZW,Delfzijl West,53.3320834,6.9069092,"['APG', 'DZ']",280
DLD,Den Dolder,52.140277862549,5.2427778244019,"['AMF', 'BHV', 'STZ']",265
GVC,Den Haag Centraal,52.080276489258,4.3249998092651,"['GV', 'LAA', 'VB']",215
GV,Den Haag HS,52.069721221924,4.3225002288818,"['GVC', 'GVMW', 'LAA']",215
LAA,Den Haag Laan v NOI,52.078609466553,4.3427777290344,"['GV', 'GVC', 'GVM']",215
GVM,Den Haag Mariahoeve,52.090557098389,4.3694443702698,"['LAA', 'VST']",215
GVMW,Den Haag Moerwijk,52.053890228271,4.3086109161377,"['GV', 'RSW']",215
YPB,Den Haag Ypenburg,52.055278778076,4.39222240448,"['VB', 'ZTM']",215
HDR,Den Helder,52.955276489258,4.7611112594605,['HDRZ'],249
HDRZ,Den Helder Zuid,52.932498931885,4.7641668319702,"['ANA', 'HDR']",249
DN,Deurne,51.455833435059,5.7888889312744,"['HMBH', 'HRT']",392
DV,Deventer,52.257499694824,6.1605553627014,"['DVC', 'OST', 'TWL', 'ZP']",275
DVC,Deventer Colmschate,52.2502784729,6.2144446372986,"['DV', 'HON']",275
DID,Didam,51.933502,6.1324106,"['WL', 'ZV']",275
DMN,Diemen,52.34515,4.967566,"['ASSP', 'DMNZ', 'WP']",240
DMNZ,Diemen Zuid,52.330276489258,4.9558334350586,"['DMN', 'DVD']",240
DR,Dieren,52.044998168945,6.1030554771423,"['BMN', 'RH']",275
DTC,Doetinchem,51.9585962,6.2962148,"['DTCH', 'GDR']",275
DTCH,Doetinchem De Huet,51.9591413,6.2598521,"['DTC', 'WL']",275
DDR,Dordrecht,51.807220458984,4.668333530426,"['DDRS', 'DDZD', 'ZWD']",344
DDRS,Dordrecht Stadspolders,51.801944732666,4.7166666984558,"['DDR', 'SDTB']",348
DDZD,Dordrecht Zuid,51.790000915527,4.6713891029358,"['DDR', 'ZLW']",344
DB,Driebergen-Zeist,52.065277099609,5.25861120224,"['BNK', 'MRN']",260
DRH,Driehuis,52.442501068115,4.6380553245544,"['BV', 'SPTN']",240
DRP,Dronryp,53.1778086,5.6347411,"['DEI', 'FN']",270
DRON,Dronten,52.5344,5.72089,"['KPNZ', 'LLS']",249
DVN,Duiven,51.943332672119,6.0147223472595,"['WTV', 'ZV']",275
DVD,Duivendrecht,52.323333740234,4.9363889694214,"['ASA', 'ASB', 'DMNZ', 'RAI']",240
EC,Echt,51.100555419922,5.8788890838623,"['RM', 'SRN']",377
EDC,Ede Centrum,52.043609619141,5.668333530426,"['ED', 'LTN']",275
ED,Ede-Wageningen,52.027778625488,5.6730556488037,"['EDC', 'KLP', 'WF']",275
EEM,Eemshaven,53.458419,6.832,['RD'],280
EDN,Eijsden,50.771945953369,5.710000038147,['MTR'],380
EHV,Eindhoven Centraal,51.443332672119,5.4813890457153,"['EHS', 'GP', 'HMBV']",370
EHS,Eindhoven Strijp-S,51.451110839844,5.4558334350586,"['BET', 'EHV']",370
EST,Elst,51.916942596435,5.8550000190735,"['AHZ', 'NML', 'ZA']",275
EMN,Emmen,52.790000915527,6.8994445800781,['EMNZ'],280
EMNZ,Emmen Zuid,52.748866374691,6.8747806549072,"['EMN', 'NA']",280
EKZ,Enkhuizen,52.699165344238,5.286388874054,['BKF'],249
ES,Enschede,52.222499847412,6.8899998664856,"['ESE', 'ESK']",290
ESE,Enschede De Eschmarke,52.221389770508,6.9511113166809,"['ES', 'GBR']",290
ESK,Enschede Kennispark,52.23749923706,6.8388891220093,"['ES', 'HGL']",290
EML,Ermelo,52.301666259766,5.6147222518921,"['HD', 'PT']",265
ETN,Etten-Leur,51.57500076294,4.6358332633972,"['BD', 'RSD']",350
EGH,Eygelshoven,50.890556335449,6.0450000762939,"['CVM', 'LG']",380
EGHM,Eygelshoven Markt,50.896049819644,6.0602474212646,['LG'],380
FWD,Feanwâlden,53.2351834,5.9886615,"['DWE', 'HDG']",270
FN,Franeker,53.1824488,5.5483094,"['DRP', 'HLG']",270
GDR,Gaanderen,51.93074,6.3486,"['DTC', 'TBG']",275
GDM,Geldermalsen,51.88301,5.27127,"['BSD', 'CL', 'TPSW', 'ZBM']",260
GP,Geldrop,51.419723510742,5.5505557060242,"['EHV', 'HZE']",370
GLN,Geleen Oost,50.966945648193,5.8430557250977,"['SBK', 'STD']",380
LUT,Geleen-Lutterade,50.975555419922,5.8247222900391,"['BK', 'STD']",380
GZ,Gilze-Rijen,51.583610534668,4.9261112213135,"['BD', 'TBR']",350
GBR,Glanerbrug,52.218612670898,6.9744443893433,['ESE'],290
GS,Goes,51.498054504395,3.8905556201935,"['ARN', 'BZL']",311
GO,Goor,52.230278015137,6.5844445228577,"['DDN', 'LC']",290
GR,Gorinchem,51.833889007568,4.9683332443237,"['AKL', 'BHDV']",348
GD,Gouda,52.017501831055,4.7044444084167,"['GDG', 'LLZM', 'NWK', 'WADT']",348
GDG,Gouda Goverwelle,52.014999389648,4.7408332824707,"['GD', 'WD']",348
GBG,Gramsbergen,52.60916519165,6.6758332252502,"['CO', 'HDB']",290
GK,Grijpskerk,53.255740325573,6.3097786903381,"['BP', 'ZH']",280
GN,Groningen,53.210556030273,6.5647220611572,"['GERP', 'GNN', 'ZH']",280
GERP,Groningen Europapark,53.20480027,6.5854178,"['GN', 'HRN', 'KW']",280
GNN,Groningen Noord,53.2301469,6.5563172,"['GN', 'SWD']",280
GW,Grou-Jirnsum,53.088890075684,5.8225002288818,"['AKM', 'LW']",270
HLM,Haarlem,52.38777923584,4.6383333206177,"['BLL', 'HAD', 'HLMS', 'OVN']",240
HLMS,Haarlem Spaarnwoude,52.382778167725,4.6730556488037,"['HLM', 'HWZB']",240
HWZB,Halfweg-Zwanenburg,52.385935,4.747165,"['ASS', 'HLMS']",240
HDB,Hardenberg,52.572776794434,6.6286110877991,"['GBG', 'MRB']",290
HD,Harderwijk,52.337501525879,5.619722366333,"['EML', 'NS']",265
HBZM,Hardinxveld Blauwe Zoom,51.82944,4.81556,"['GND', 'SDT']",348
