code,start,end,wind,wind_max,temperature,rain,rain_duration,fog,thunder,snow,ice
215,2023-01-01 00:00:00,2023-01-01 01:00:00,11.0,20.0,14.2,0.0,0.0,False,False,False,False
235,2023-01-01 00:00:00,2023-01-01 01:00:00,12.0,18.0,11.2,0.3,24.0,False,False,False,False
240,2023-01-01 00:00:00,2023-01-01 01:00:00,11.0,15.0,13.8,0.05,0.0,False,False,False,False
249,2023-01-01 00:00:00,2023-01-01 01:00:00,14.0,23.0,13.6,0.1,12.0,False,False,False,False
251,2023-01-01 00:00:00,2023-01-01 01:00:00,14.0,19.0,10.8,0.0,0.0,False,False,False,False
260,2023-01-01 00:00:00,2023-01-01 01:00:00,8.0,16.0,15.5,0.0,0.0,False,False,False,False
267,2023-01-01 00:00:00,2023-01-01 01:00:00,13.0,20.0,12.1,0.05,0.0,False,False,False,False
269,2023-01-01 00:00:00,2023-01-01 01:00:00,10.0,17.0,14.1,0.05,0.0,False,False,False,False
270,2023-01-01 00:00:00,2023-01-01 01:00:00,14.0,23.0,13.2,0.05,0.0,False,False,False,False
273,2023-01-01 00:00:00,2023-01-01 01:00:00,8.0,13.0,13.1,0.1,12.0,False,False,False,False
275,2023-01-01 00:00:00,2023-01-01 01:00:00,10.0,15.0,15.3,0.05,0.0,False,False,False,False
279,2023-01-01 00:00:00,2023-01-01 01:00:00,9.0,15.0,13.9,0.1,36.0,False,False,False,False
280,2023-01-01 00:00:00,2023-01-01 01:00:00,11.0,19.0,13.3,0.05,0.0,False,False,False,False
290,2023-01-01 00:00:00,2023-01-01 01:00:00,8.0,15.0,15.2,0.05,0.0,False,False,False,False
310,2023-01-01 00:00:00,2023-01-01 01:00:00,14.0,18.0,13.1,0.0,0.0,False,False,False,False
319,2023-01-01 00:00:00,2023-01-01 01:00:00,10.0,18.0,14.5,0.0,0.0,False,False,False,False
340,2023-01-01 00:00:00,2023-01-01 01:00:00,7.0,14.0,14.8,0.05,0.0,False,False,False,False
344,2023-01-01 00:00:00,2023-01-01 01:00:00,10.0,18.0,14.3,0.0,0.0,False,False,False,False
348,2023-01-01 00:00:00,2023-01-01 01:00:00,12.0,18.0,14.7,0.0,0.0,False,False,False,False
350,2023-01-01 00:00:00,2023-01-01 01:00:00,9.0,15.0,15.4,0.05,0.0,False,False,False,False
370,2023-01-01 00:00:00,2023-01-01 01:00:00,11.0,19.0,16.3,0.05,0.0,False,False,False,False
375,2023-01-01 00:00:00,2023-01-01 01:00:00,11.0,16.0,16.2,0.0,0.0,False,False,False,False
377,2023-01-01 00:00:00,2023-01-01 01:00:00,9.0,16.0,15.5,0.0,0.0,False,False,False,False
380,2023-01-01 00:00:00,2023-01-01 01:00:00,10.0,15.0,14.7,0.0,0.0,False,False,False,False
215,2023-01-01 01:00:00,2023-01-01 02:00:00,11.0,18.0,14.4,0.0,0.0,False,False,False,False
235,2023-01-01 01:00:00,2023-01-01 02:00:00,12.0,20.0,11.4,1.1,54.0,False,False,False,False
240,2023-01-01 01:00:00,2023-01-01 02:00:00,11.0,17.0,13.9,0.05,0.0,False,False,False,False
249,2023-01-01 01:00:00,2023-01-01 02:00:00,13.0,21.0,14.4,0.1,18.0,False,False,False,False
251,2023-01-01 01:00:00,2023-01-01 02:00:00,14.0,18.0,10.4,0.05,0.0,False,False,False,False
260,2023-01-01 01:00:00,2023-01-01 02:00:00,9.0,19.0,15.0,0.05,0.0,False,False,False,False
267,2023-01-01 01:00:00,2023-01-01 02:00:00,13.0,18.0,11.9,0.3,48.0,False,False,False,False
269,2023-01-01 01:00:00,2023-01-01 02:00:00,10.0,15.0,13.6,0.1,30.0,False,False,False,False
270,2023-01-01 01:00:00,2023-01-01 02:00:00,12.0,20.0,11.9,1.1,54.0,False,False,False,False
