code,name,lat,lng
210,Valkenburg Zh,52.171,4.43
215,Voorschoten,52.141,4.437
240,Schiphol,52.318,4.79
249,Berkhout,52.644,4.979
251,Hoorn Terschelling,53.392,5.346
260,De Bilt,52.1,5.18
265,Soesterberg,52.13,5.274
270,Leeuwarden,53.224,5.752
275,Deelen,52.056,5.873
280,Eelde,53.125,6.585
290,Twenthe,52.274,6.891
310,Vlissingen,51.442,3.596
311,Hoofdplaat,51.379,3.672
319,Westdorpe,51.226,3.861
331,Tholen,51.48,4.193
344,Rotterdam,51.962,4.447
348,Cabauw Mast,51.97,4.926
350,Gilze-Rijen,51.566,4.936
370,Eindhoven,51.451,5.377
375,Volkel,51.659,5.707
377,Ell,51.198,5.763
380,Maastricht,50.906,5.762
392,Horst,51.486836,6.056189
